input_dim,block_dim,opt_level,time
2048,32,0,2770
2048,32,0,2711
2048,32,0,2722
2048,32,0,2700
2048,32,0,2713
2048,32,0,2727
2048,32,0,2720
2048,32,0,2728
2048,32,0,2712
2048,32,0,2728
4096,32,0,2748
4096,32,0,2729
4096,32,0,2725
4096,32,0,2756
4096,32,0,2701
4096,32,0,2705
4096,32,0,2684
4096,32,0,2756
4096,32,0,2712
4096,32,0,2801
8192,32,0,2715
8192,32,0,2734
8192,32,0,2767
8192,32,0,2741
8192,32,0,2714
8192,32,0,2725
8192,32,0,2754
8192,32,0,2743
8192,32,0,2722
8192,32,0,2752
16384,32,0,2706
16384,32,0,2729
16384,32,0,2696
16384,32,0,2752
16384,32,0,2729
16384,32,0,2692
16384,32,0,2729
16384,32,0,2717
16384,32,0,2712
16384,32,0,2704
32768,32,0,2702
32768,32,0,2727
32768,32,0,2712
32768,32,0,2737
32768,32,0,2783
32768,32,0,2731
32768,32,0,2715
32768,32,0,2733
32768,32,0,2713
32768,32,0,2708
65536,32,0,2726
65536,32,0,2714
65536,32,0,2720
65536,32,0,2726
65536,32,0,2740
65536,32,0,2729
65536,32,0,2713
65536,32,0,2763
65536,32,0,2700
65536,32,0,2696
2048,64,0,2741
2048,64,0,2716
2048,64,0,2762
2048,64,0,2717
2048,64,0,2726
2048,64,0,2721
2048,64,0,2735
2048,64,0,2716
2048,64,0,2719
2048,64,0,2731
4096,64,0,2718
4096,64,0,2729
4096,64,0,2715
4096,64,0,2720
4096,64,0,2733
4096,64,0,2731
4096,64,0,2681
4096,64,0,2723
4096,64,0,2726
4096,64,0,2720
8192,64,0,2733
8192,64,0,2748
8192,64,0,2724
8192,64,0,2749
8192,64,0,2772
8192,64,0,2726
8192,64,0,2726
8192,64,0,2717
8192,64,0,2737
8192,64,0,2734
16384,64,0,2712
16384,64,0,2760
16384,64,0,2746
16384,64,0,2663
16384,64,0,2751
16384,64,0,2738
16384,64,0,2764
16384,64,0,2733
16384,64,0,2737
16384,64,0,2720
32768,64,0,2731
32768,64,0,2719
32768,64,0,2735
32768,64,0,2740
32768,64,0,2735
32768,64,0,2722
32768,64,0,2703
32768,64,0,2733
32768,64,0,2762
32768,64,0,2722
65536,64,0,2755
65536,64,0,2710
65536,64,0,2721
65536,64,0,2729
65536,64,0,2739
65536,64,0,2714
65536,64,0,2727
65536,64,0,2718
65536,64,0,2762
65536,64,0,2730
2048,128,0,2721
2048,128,0,2718
2048,128,0,2706
2048,128,0,2755
2048,128,0,2727
2048,128,0,2720
2048,128,0,2744
2048,128,0,2754
2048,128,0,2753
2048,128,0,2708
4096,128,0,2729
4096,128,0,2722
4096,128,0,2718
4096,128,0,2727
4096,128,0,2723
4096,128,0,2706
4096,128,0,2725
4096,128,0,2689
4096,128,0,2700
4096,128,0,2732
8192,128,0,2708
8192,128,0,2734
8192,128,0,2734
8192,128,0,2736
8192,128,0,2736
8192,128,0,2714
8192,128,0,2739
8192,128,0,2711
8192,128,0,2738
8192,128,0,2705
16384,128,0,2720
16384,128,0,2752
16384,128,0,2731
16384,128,0,2757
16384,128,0,2726
16384,128,0,2718
16384,128,0,2723
16384,128,0,2722
16384,128,0,2723
16384,128,0,2715
32768,128,0,2708
32768,128,0,2910
32768,128,0,2735
32768,128,0,2721
32768,128,0,2721
32768,128,0,2697
32768,128,0,2699
32768,128,0,2751
32768,128,0,2718
32768,128,0,2716
65536,128,0,2732
65536,128,0,2724
65536,128,0,2728
65536,128,0,2719
65536,128,0,2718
65536,128,0,2718
65536,128,0,2743
65536,128,0,2692
65536,128,0,2755
65536,128,0,2700
2048,256,0,2722
2048,256,0,2702
2048,256,0,2710
2048,256,0,2758
2048,256,0,2728
2048,256,0,2732
2048,256,0,2690
2048,256,0,2705
2048,256,0,2751
2048,256,0,2720
4096,256,0,2720
4096,256,0,2727
4096,256,0,2720
4096,256,0,2722
4096,256,0,2720
4096,256,0,2740
4096,256,0,2724
4096,256,0,2720
4096,256,0,2711
4096,256,0,2714
8192,256,0,2721
8192,256,0,2742
8192,256,0,2749
8192,256,0,2770
8192,256,0,2730
8192,256,0,2731
8192,256,0,2721
8192,256,0,2711
8192,256,0,2715
8192,256,0,2717
16384,256,0,2741
16384,256,0,2711
16384,256,0,2730
16384,256,0,2729
16384,256,0,2753
16384,256,0,2711
16384,256,0,2714
16384,256,0,2719
16384,256,0,2717
16384,256,0,2718
32768,256,0,2722
32768,256,0,2686
32768,256,0,2712
32768,256,0,2716
32768,256,0,2735
32768,256,0,2729
32768,256,0,2713
32768,256,0,2719
32768,256,0,2719
32768,256,0,2725
65536,256,0,2723
65536,256,0,2741
65536,256,0,2750
65536,256,0,2722
65536,256,0,2710
65536,256,0,2728
65536,256,0,2719
65536,256,0,2733
65536,256,0,2772
65536,256,0,2723
2048,512,0,2744
2048,512,0,2705
2048,512,0,2720
2048,512,0,2750
2048,512,0,2729
2048,512,0,2740
2048,512,0,2723
2048,512,0,2715
2048,512,0,2812
2048,512,0,2742
4096,512,0,2724
4096,512,0,2752
4096,512,0,2696
4096,512,0,2733
4096,512,0,2727
4096,512,0,2744
4096,512,0,2745
4096,512,0,2717
4096,512,0,2719
4096,512,0,2733
8192,512,0,2736
8192,512,0,2720
8192,512,0,2728
8192,512,0,2702
8192,512,0,2749
8192,512,0,2722
8192,512,0,2725
8192,512,0,2722
8192,512,0,2735
8192,512,0,2732
16384,512,0,2722
16384,512,0,2734
16384,512,0,2725
16384,512,0,2711
16384,512,0,2720
16384,512,0,2721
16384,512,0,2729
16384,512,0,2732
16384,512,0,2705
16384,512,0,2733
32768,512,0,2723
32768,512,0,2718
32768,512,0,2722
32768,512,0,2711
32768,512,0,2715
32768,512,0,2720
32768,512,0,2715
32768,512,0,2721
32768,512,0,2781
32768,512,0,2702
65536,512,0,2793
65536,512,0,2714
65536,512,0,2714
65536,512,0,2709
65536,512,0,2737
65536,512,0,2713
65536,512,0,2707
65536,512,0,2741
65536,512,0,2734
65536,512,0,2752
2048,1024,0,2710
2048,1024,0,2733
2048,1024,0,2733
2048,1024,0,2733
2048,1024,0,2679
2048,1024,0,2723
2048,1024,0,2752
2048,1024,0,2778
2048,1024,0,2717
2048,1024,0,2740
4096,1024,0,2723
4096,1024,0,2734
4096,1024,0,2726
4096,1024,0,2728
4096,1024,0,2744
4096,1024,0,2719
4096,1024,0,2727
4096,1024,0,2720
4096,1024,0,2736
4096,1024,0,2744
8192,1024,0,2722
8192,1024,0,2721
8192,1024,0,2714
8192,1024,0,2742
8192,1024,0,2703
8192,1024,0,2744
8192,1024,0,2722
8192,1024,0,2724
8192,1024,0,2748
8192,1024,0,2503
16384,1024,0,2727
16384,1024,0,2727
16384,1024,0,2728
16384,1024,0,2520
16384,1024,0,2730
16384,1024,0,2742
16384,1024,0,2732
16384,1024,0,2702
16384,1024,0,2766
16384,1024,0,2732
32768,1024,0,2709
32768,1024,0,2722
32768,1024,0,2734
32768,1024,0,2724
32768,1024,0,2711
32768,1024,0,2717
32768,1024,0,2718
32768,1024,0,2778
32768,1024,0,2707
32768,1024,0,2728
65536,1024,0,2714
65536,1024,0,2705
65536,1024,0,2715
65536,1024,0,2714
65536,1024,0,2748
65536,1024,0,2715
65536,1024,0,2715
65536,1024,0,2726
65536,1024,0,2724
65536,1024,0,2734
